mean_loss,epsilon
305.500335693,0.9999451
22.2521743774,0.9999235
17.6194591522,0.9999001
17.5846614838,0.9998758
16.6235923767,0.9998443
22.0543174744,0.9998245
25.8140830994,0.9997993
18.9951438904,0.9997723
22.2812595367,0.9997507
19.9716739655,0.9997291
17.5585575104,0.9996661
19.3609409332,0.9996409
15.6451406479,0.9996184
19.8877296448,0.9995986
17.2896842957,0.9995761
18.120759964,0.9995104
20.259683609,0.9994897
20.0754623413,0.9994213
18.5845909119,0.9993502
18.3008136749,0.9993241
21.6194515228,0.9992989
19.9614391327,0.9992746
17.9276866913,0.9992521
19.87266922,0.9992035
24.8123397827,0.9991792
18.1340274811,0.9991576
20.7445297241,0.9990937
21.3220405579,0.9990397
16.3648643494,0.999019
13.2765684128,0.9989956
12.8912534714,0.998974
17.7175331116,0.9989092
18.6285686493,0.9987967
20.124753952,0.9987751
20.919921875,0.9986815
20.8115253448,0.9986572
19.6792850494,0.9986248
17.0695457458,0.998605
20.7013454437,0.9985834
21.7670841217,0.9985618
19.4139862061,0.9984997
18.3434772491,0.9984772
13.9633741379,0.9984259
19.5185966492,0.9984034
23.1063404083,0.9983557
19.5753803253,0.9983314
24.1641273499,0.9983116
19.3867454529,0.9982864
21.6141223907,0.9982243
15.4767379761,0.9982027
20.664598465,0.9981154
17.5551528931,0.9980911
24.0999660492,0.9980632
21.3463935852,0.998038
17.9416046143,0.9980092
19.9726428986,0.9979876
20.7549991608,0.9979678
18.499502182,0.9979444
19.5985069275,0.9979165
19.0456829071,0.9978193
18.5914669037,0.9977977
14.8306789398,0.9977707
19.6808586121,0.9977491
20.7634773254,0.9976843
18.7387752533,0.9976627
17.7658100128,0.9976402
16.3368701935,0.9976159
20.4626483917,0.9975511
19.8771724701,0.9975052
19.2370586395,0.9974809
15.9525079727,0.997453
22.9119758606,0.9974332
15.821310997,0.9974071
20.0083751678,0.9973801
18.4371070862,0.9973333
18.0862979889,0.9973126
16.7577171326,0.9972919
20.8247394562,0.9972703
18.0812835693,0.9972505
19.4492378235,0.9972217
18.3914813995,0.9972019
18.131521225,0.9971542
17.8150196075,0.997129
21.8141403198,0.9970975
24.6887760162,0.9970759
21.1520233154,0.9970534
17.0171718597,0.99703
19.2634391785,0.9970012
16.9470500946,0.9969787
16.2412490845,0.9969571
14.5431442261,0.9969346
19.8295612335,0.996913
15.0617256165,0.9968905
20.4318447113,0.9968671
16.5389022827,0.9968437
16.7966709137,0.9967546
20.3923778534,0.9967276
17.8191776276,0.9966592
19.4763278961,0.9966304
19.2856216431,0.9965665
15.1022109985,0.996544
21.1398277283,0.9965206
19.9822845459,0.9964522
19.0828762054,0.9963424
16.0546073914,0.9963199
18.7409343719,0.9962578
18.3698348999,0.9962344
17.8673820496,0.9962065
17.3119945526,0.996184
18.6762313843,0.9960931
17.1165561676,0.9960715
13.9941139221,0.9960472
20.6330871582,0.9960229
20.9917850494,0.9960031
23.0773563385,0.9959815
23.436630249,0.9959518
17.4705944061,0.9959041
10.975769043,0.9958834
16.9378528595,0.9958609
17.1684474945,0.9958393
18.0304470062,0.9958195
16.7233829498,0.9957961
17.052822113,0.99577
15.6858711243,0.9957466
21.3594474792,0.9956818
16.3809604645,0.9956611
17.10090065,0.9956323
18.0853118896,0.9956089
14.9892568588,0.9955864
14.1831054688,0.995563
18.7070484161,0.9955432
19.5720272064,0.995473
17.7785263062,0.9954244
17.1228141785,0.9953587
23.0091953278,0.9953353
19.5650367737,0.9952444
19.4585990906,0.9952246
17.863073349,0.995203
22.5135860443,0.9951778
17.8643417358,0.9951274
18.6456069946,0.9951058
17.0136375427,0.9950698
19.8565292358,0.9950401
